'Elapsed time','D3'
'0:15.240',7.530
'0:15.244',7.520
'0:15.248',7.545
'0:15.252',7.540
'0:15.256',7.540
'0:15.260',7.530
'0:15.264',7.540
'0:15.268',7.540
'0:15.272',7.545
'0:15.276',7.545
'0:15.280',7.555
'0:15.284',7.565
'0:15.288',7.570
'0:15.292',7.570
'0:15.296',7.580
'0:15.300',7.570
'0:15.304',7.565
'0:15.308',7.580
'0:15.312',7.590
'0:15.316',7.570
'0:15.320',7.580
'0:15.324',7.570
'0:15.328',7.565
'0:15.332',7.565
'0:15.336',7.570
'0:15.340',7.600
'0:15.344',7.605
'0:15.348',7.600
'0:15.352',7.590
'0:15.356',7.600
'0:15.360',7.580
'0:15.364',7.600
'0:15.368',7.600
'0:15.372',7.580
'0:15.376',7.600
'0:15.380',7.580
'0:15.384',7.615
'0:15.388',7.605
'0:15.392',7.600
'0:15.396',7.580
'0:15.400',7.615
'0:15.404',7.600
'0:15.408',7.590
'0:15.412',7.590
'0:15.416',7.615
'0:15.420',7.640
'0:15.424',7.615
'0:15.428',7.605
'0:15.432',7.615
'0:15.436',7.615
'0:15.440',7.625
'0:15.444',7.615
'0:15.448',7.625
'0:15.452',7.630
'0:15.456',7.630
'0:15.460',7.615
'0:15.464',7.625
'0:15.468',7.625
'0:15.472',7.630
'0:15.476',7.630
'0:15.480',7.615
'0:15.484',7.640
'0:15.488',7.630
'0:15.492',7.640
'0:15.496',7.615
'0:15.500',7.640
'0:15.504',7.640
'0:15.508',7.630
'0:15.512',7.640
'0:15.516',7.630
'0:15.520',7.630
'0:15.524',7.630
'0:15.528',7.630
'0:15.532',7.630
'0:15.536',7.640
'0:15.540',7.630
'0:15.544',7.640
'0:15.548',7.640
'0:15.552',7.640
'0:15.556',7.640
'0:15.560',7.640
'0:15.564',7.630
'0:15.568',7.630
'0:15.572',7.640
'0:15.576',7.640
'0:15.580',7.640
'0:15.584',7.640
'0:15.588',7.630
'0:15.592',7.675
'0:15.596',7.640
'0:15.600',7.640
'0:15.604',7.640
'0:15.608',7.640
'0:15.612',7.650
'0:15.616',7.650
'0:15.620',7.640
'0:15.624',7.640
'0:15.628',7.640
'0:15.632',7.630
'0:15.636',7.640
'0:15.640',7.640
'0:15.644',7.640
'0:15.648',7.630
'0:15.652',7.630
'0:15.656',7.675
'0:15.660',7.640
'0:15.664',7.630
'0:15.668',7.640
'0:15.672',7.640
'0:15.676',7.630
'0:15.680',7.630
'0:15.684',7.640
'0:15.688',7.640
'0:15.692',7.630
'0:15.696',7.630
'0:15.700',7.640
'0:15.704',7.640
'0:15.708',7.630
'0:15.712',7.630
'0:15.716',7.625
'0:15.720',7.650
'0:15.724',7.630
'0:15.728',7.625
'0:15.732',7.615
'0:15.736',7.630
'0:15.740',7.615
'0:15.744',7.625
'0:15.748',7.625
'0:15.752',7.630
'0:15.756',7.625
'0:15.760',7.615
'0:15.764',7.625
'0:15.768',7.615
'0:15.772',7.625
'0:15.776',7.615
'0:15.780',7.615
'0:15.784',7.625
'0:15.788',7.625
'0:15.792',7.625
'0:15.796',7.615
'0:15.800',7.625
'0:15.804',7.605
'0:15.808',7.615
'0:15.812',7.615
'0:15.816',7.615
'0:15.820',7.615
'0:15.824',7.605
'0:15.828',7.640
'0:15.832',7.600
'0:15.836',7.605
'0:15.840',7.600
'0:15.844',7.615
'0:15.848',7.615
'0:15.852',7.605
'0:15.856',7.600
'0:15.860',7.600
'0:15.864',7.615
'0:15.868',7.580
'0:15.872',7.570
'0:15.876',7.570
'0:15.880',7.570
'0:15.884',7.570
'0:15.888',7.580
'0:15.892',7.570
'0:15.896',7.540
'0:15.900',7.520
'0:15.904',7.540
'0:15.908',7.565
'0:15.912',7.570
'0:15.916',7.570
'0:15.920',7.600
'0:15.924',7.580
'0:15.928',7.590
'0:15.932',7.580
'0:15.936',7.590
'0:15.940',7.570
'0:15.944',7.570
'0:15.948',7.590
'0:15.952',7.580
'0:15.956',7.590
'0:15.960',7.590
'0:15.964',7.600
'0:15.968',7.580
'0:15.972',7.580
'0:15.976',7.590
'0:15.980',7.605
'0:15.984',7.600
'0:15.988',7.545
'0:15.992',7.470
'0:15.996',7.255
'0:16.000',7.000
'0:16.004',6.865
'0:16.008',6.770
'0:16.012',6.590
'0:16.016',6.460
'0:16.020',6.710
'0:16.024',7.195
'0:16.028',7.520
'0:16.032',7.715
'0:16.036',7.810
'0:16.040',7.710
'0:16.044',7.565
'0:16.048',7.485
'0:16.052',7.480
'0:16.056',7.485
'0:16.060',7.470
'0:16.064',7.520
'0:16.068',7.485
'0:16.072',7.505
'0:16.076',7.505
'0:16.080',7.505
'0:16.084',7.505
'0:16.088',7.495
'0:16.092',7.495
'0:16.096',7.485
'0:16.100',7.485
'0:16.104',7.495
'0:16.108',7.495
'0:16.112',7.480
'0:16.116',7.485
'0:16.120',7.485
'0:16.124',7.485
'0:16.128',7.505
'0:16.132',7.480
'0:16.136',7.460
'0:16.140',7.480
'0:16.144',7.470
'0:16.148',7.470
'0:16.152',7.470
'0:16.156',7.470
'0:16.160',7.450
'0:16.164',7.435
'0:16.168',7.450
'0:16.172',7.450
'0:16.176',7.425
'0:16.180',7.435
'0:16.184',7.445
'0:16.188',7.425
'0:16.192',7.425
'0:16.196',7.410
'0:16.200',7.390
'0:16.204',7.390
'0:16.208',7.390
'0:16.212',7.375
'0:16.216',7.375
'0:16.220',7.360
'0:16.224',7.325
'0:16.228',7.315
'0:16.232',7.305
'0:16.236',7.255
'0:16.240',7.265
'0:16.244',7.240
'0:16.248',7.215
'0:16.252',7.185
'0:16.256',7.155
'0:16.260',7.120
'0:16.264',7.095
'0:16.268',7.060
'0:16.272',7.035
'0:16.276',7.010
'0:16.280',6.980
'0:16.284',6.940
'0:16.288',6.905
'0:16.292',6.895
'0:16.296',6.880
'0:16.300',6.845
'0:16.304',6.870
'0:16.308',6.895
'0:16.312',6.915
'0:16.316',6.940
'0:16.320',6.990
'0:16.324',7.025
'0:16.328',7.085
'0:16.332',7.160
'0:16.336',7.220
'0:16.340',7.265
'0:16.344',7.300
'0:16.348',7.360
'0:16.352',7.390
'0:16.356',7.425
'0:16.360',7.435
'0:16.364',7.470
'0:16.368',7.470
'0:16.372',7.470
'0:16.376',7.485
'0:16.380',7.495
'0:16.384',7.505
'0:16.388',7.520
'0:16.392',7.510
'0:16.396',7.520
'0:16.400',7.530
'0:16.404',7.530
'0:16.408',7.530
'0:16.412',7.540
'0:16.416',7.540
'0:16.420',7.540
'0:16.424',7.545
'0:16.428',7.545
'0:16.432',7.545
'0:16.436',7.545
'0:16.440',7.555
'0:16.444',7.545
'0:16.448',7.545
'0:16.452',7.540
'0:16.456',7.545
'0:16.460',7.555
'0:16.464',7.555
'0:16.468',7.555
'0:16.472',7.605
'0:16.476',7.565
'0:16.480',7.565
'0:16.484',7.565
'0:16.488',7.570
'0:16.492',7.570
'0:16.496',7.570
'0:16.500',7.570
'0:16.504',7.570
'0:16.508',7.565
'0:16.512',7.565
'0:16.516',7.565
'0:16.520',7.565
'0:16.524',7.565
'0:16.528',7.570
'0:16.532',7.570
'0:16.536',7.605
'0:16.540',7.570
'0:16.544',7.570
'0:16.548',7.570
'0:16.552',7.580
'0:16.556',7.570
'0:16.560',7.580
'0:16.564',7.590
'0:16.568',7.570
'0:16.572',7.590
'0:16.576',7.590
'0:16.580',7.570
'0:16.584',7.570
'0:16.588',7.590
'0:16.592',7.580
'0:16.596',7.580
'0:16.600',7.605
'0:16.604',7.590
'0:16.608',7.580
'0:16.612',7.590
'0:16.616',7.590
'0:16.620',7.580
'0:16.624',7.590
'0:16.628',7.600
'0:16.632',7.605
'0:16.636',7.600
'0:16.640',7.600
'0:16.644',7.600
'0:16.648',7.600
'0:16.652',7.600
'0:16.656',7.600
'0:16.660',7.600
'0:16.664',7.605
'0:16.668',7.605
'0:16.672',7.600
'0:16.676',7.600
'0:16.680',7.600
'0:16.684',7.590
'0:16.688',7.600
'0:16.692',7.580
'0:16.696',7.605
'0:16.700',7.600
'0:16.704',7.600
'0:16.708',7.630
'0:16.712',7.615
'0:16.716',7.615
'0:16.720',7.605
'0:16.724',7.605
'0:16.728',7.625
'0:16.732',7.625
'0:16.736',7.605
'0:16.740',7.605
'0:16.744',7.605
'0:16.748',7.605
'0:16.752',7.605
'0:16.756',7.625
'0:16.760',7.625
'0:16.764',7.615
'0:16.768',7.615
'0:16.772',7.640
'0:16.776',7.625
'0:16.780',7.625
'0:16.784',7.630
'0:16.788',7.625
'0:16.792',7.625
'0:16.796',7.625
'0:16.800',7.630
'0:16.804',7.630
'0:16.808',7.640
'0:16.812',7.625
'0:16.816',7.630
'0:16.820',7.630
'0:16.824',7.640
'0:16.828',7.630
'0:16.832',7.630
'0:16.836',7.640
'0:16.840',7.630
'0:16.844',7.625
'0:16.848',7.630
'0:16.852',7.640
'0:16.856',7.640
'0:16.860',7.640
'0:16.864',7.630
'0:16.868',7.630
'0:16.872',7.625
'0:16.876',7.625
'0:16.880',7.630
'0:16.884',7.630
'0:16.888',7.625
'0:16.892',7.625
'0:16.896',7.625
'0:16.900',7.640
'0:16.904',7.640
'0:16.908',7.630
'0:16.912',7.625
'0:16.916',7.625
'0:16.920',7.625
'0:16.924',7.650
'0:16.928',7.625
'0:16.932',7.625
'0:16.936',7.625
'0:16.940',7.600
'0:16.944',7.640
'0:16.948',7.625
'0:16.952',7.625
'0:16.956',7.605
'0:16.960',7.605
'0:16.964',7.605
'0:16.968',7.605
'0:16.972',7.605
'0:16.976',7.600
'0:16.980',7.615
'0:16.984',7.605
'0:16.988',7.615
'0:16.992',7.615
'0:16.996',7.605
'0:17.000',7.605
'0:17.004',7.605
'0:17.008',7.625
'0:17.012',7.600
'0:17.016',7.605
'0:17.020',7.600
'0:17.024',7.600
'0:17.028',7.580
'0:17.032',7.605
'0:17.036',7.600
'0:17.040',7.600
'0:17.044',7.590
'0:17.048',7.580
'0:17.052',7.580
'0:17.056',7.580
'0:17.060',7.590
'0:17.064',7.580
'0:17.068',7.600
'0:17.072',7.600
'0:17.076',7.580
'0:17.080',7.570
'0:17.084',7.565
'0:17.088',7.565
'0:17.092',7.565
'0:17.096',7.545
'0:17.100',7.545
'0:17.104',7.545
'0:17.108',7.545
'0:17.112',7.545
'0:17.116',7.565
'0:17.120',7.495
'0:17.124',7.485
'0:17.128',7.495
'0:17.132',7.505
'0:17.136',7.530
'0:17.140',7.540
'0:17.144',7.545
'0:17.148',7.555
'0:17.152',7.545
'0:17.156',7.545
'0:17.160',7.545
'0:17.164',7.540
'0:17.168',7.540
'0:17.172',7.545
'0:17.176',7.540
'0:17.180',7.570
'0:17.184',7.540
'0:17.188',7.540
'0:17.192',7.540
'0:17.196',7.540
'0:17.200',7.540
'0:17.204',7.580
'0:17.208',7.605
'0:17.212',7.555
'0:17.216',7.460
'0:17.220',7.255
'0:17.224',6.990
'0:17.228',6.795
'0:17.232',6.615
'0:17.236',6.375
'0:17.240',6.205
'0:17.244',6.425
'0:17.248',6.980
'0:17.252',7.365
'0:17.256',7.665
'0:17.260',7.760
'0:17.264',7.640
'0:17.268',7.540
'0:17.272',7.470
'0:17.276',7.435
'0:17.280',7.425
'0:17.284',7.435
'0:17.288',7.435
'0:17.292',7.460
'0:17.296',7.445
'0:17.300',7.450
'0:17.304',7.435
'0:17.308',7.470
'0:17.312',7.460
'0:17.316',7.435
'0:17.320',7.435
'0:17.324',7.435
'0:17.328',7.445
'0:17.332',7.435
'0:17.336',7.435
'0:17.340',7.435
'0:17.344',7.435
'0:17.348',7.420
'0:17.352',7.460
'0:17.356',7.435
'0:17.360',7.425
'0:17.364',7.410
'0:17.368',7.410
'0:17.372',7.410
'0:17.376',7.410
'0:17.380',7.400
'0:17.384',7.400
'0:17.388',7.390
'0:17.392',7.390
'0:17.396',7.365
'0:17.400',7.375
'0:17.404',7.385
'0:17.408',7.365
'0:17.412',7.360
'0:17.416',7.335
'0:17.420',7.335
'0:17.424',7.325
'0:17.428',7.305
'0:17.432',7.300
'0:17.436',7.290
'0:17.440',7.290
'0:17.444',7.265
'0:17.448',7.240
'0:17.452',7.230
'0:17.456',7.220
'0:17.460',7.195
'0:17.464',7.160
'0:17.468',7.145
'0:17.472',7.100
'0:17.476',7.060
'0:17.480',7.025
'0:17.484',7.000
'0:17.488',6.955
'0:17.492',6.920
'0:17.496',6.890
'0:17.500',6.870
'0:17.504',6.830
'0:17.508',6.805
'0:17.512',6.775
'0:17.516',6.750
'0:17.520',6.735
'0:17.524',6.715
'0:17.528',6.735
'0:17.532',6.750
'0:17.536',6.785
'0:17.540',6.845
'0:17.544',6.895
'0:17.548',6.955
'0:17.552',7.015
'0:17.556',7.085
'0:17.560',7.130
'0:17.564',7.205
'0:17.568',7.255
'0:17.572',7.290
'0:17.576',7.325
'0:17.580',7.340
'0:17.584',7.385
'0:17.588',7.360
'0:17.592',7.410
'0:17.596',7.435
'0:17.600',7.445
'0:17.604',7.435
'0:17.608',7.450
'0:17.612',7.445
'0:17.616',7.460
'0:17.620',7.460
'0:17.624',7.470
'0:17.628',7.460
'0:17.632',7.470
'0:17.636',7.470
'0:17.640',7.460
'0:17.644',7.480
'0:17.648',7.460
'0:17.652',7.495
'0:17.656',7.470
'0:17.660',7.470
'0:17.664',7.480
'0:17.668',7.495
'0:17.672',7.480
'0:17.676',7.505
'0:17.680',7.505
'0:17.684',7.505
'0:17.688',7.510
'0:17.692',7.510
'0:17.696',7.510
'0:17.700',7.520
'0:17.704',7.520
'0:17.708',7.510
'0:17.712',7.520
'0:17.716',7.520
'0:17.720',7.510
'0:17.724',7.520
'0:17.728',7.530
'0:17.732',7.540
'0:17.736',7.530
'0:17.740',7.530
'0:17.744',7.530
'0:17.748',7.530
'0:17.752',7.540
'0:17.756',7.540
'0:17.760',7.555
'0:17.764',7.540
'0:17.768',7.530
'0:17.772',7.540
'0:17.776',7.540
'0:17.780',7.545
'0:17.784',7.540
'0:17.788',7.540
'0:17.792',7.555
'0:17.796',7.545
'0:17.800',7.540
'0:17.804',7.555
'0:17.808',7.540
'0:17.812',7.545
'0:17.816',7.540
'0:17.820',7.540
'0:17.824',7.570
'0:17.828',7.555
'0:17.832',7.545
'0:17.836',7.555
'0:17.840',7.555
'0:17.844',7.565
'0:17.848',7.580
'0:17.852',7.570
'0:17.856',7.570
'0:17.860',7.565
'0:17.864',7.570
'0:17.868',7.565
'0:17.872',7.570
'0:17.876',7.570
'0:17.880',7.570
'0:17.884',7.565
'0:17.888',7.600
'0:17.892',7.570
'0:17.896',7.580
'0:17.900',7.565
'0:17.904',7.570
'0:17.908',7.570
'0:17.912',7.570
'0:17.916',7.570
'0:17.920',7.570
'0:17.924',7.570
'0:17.928',7.580
'0:17.932',7.570
'0:17.936',7.570
'0:17.940',7.565
'0:17.944',7.590
'0:17.948',7.580
'0:17.952',7.590
'0:17.956',7.570
'0:17.960',7.580
'0:17.964',7.570
'0:17.968',7.580
'0:17.972',7.600
'0:17.976',7.580
'0:17.980',7.580
'0:17.984',7.580
'0:17.988',7.570
'0:17.992',7.570
'0:17.996',7.605
'0:18.000',7.590
'0:18.004',7.600
'0:18.008',7.590
'0:18.012',7.580
'0:18.016',7.580
'0:18.020',7.570
'0:18.024',7.570
'0:18.028',7.580
'0:18.032',7.580
'0:18.036',7.570
'0:18.040',7.570
'0:18.044',7.590
'0:18.048',7.580
'0:18.052',7.590
'0:18.056',7.590
'0:18.060',7.615
'0:18.064',7.580
'0:18.068',7.590
'0:18.072',7.605
'0:18.076',7.590
'0:18.080',7.580
'0:18.084',7.570
'0:18.088',7.580
'0:18.092',7.600
'0:18.096',7.600
'0:18.100',7.600
'0:18.104',7.590
'0:18.108',7.590
'0:18.112',7.600
'0:18.116',7.570
'0:18.120',7.580
'0:18.124',7.605
'0:18.128',7.600
'0:18.132',7.600
'0:18.136',7.590
'0:18.140',7.590
'0:18.144',7.580
'0:18.148',7.600
'0:18.152',7.605
'0:18.156',7.590
'0:18.160',7.590
'0:18.164',7.570
'0:18.168',7.570
'0:18.172',7.590
'0:18.176',7.590
'0:18.180',7.580
'0:18.184',7.580
'0:18.188',7.590
'0:18.192',7.580
'0:18.196',7.590
'0:18.200',7.590
'0:18.204',7.580
'0:18.208',7.580
'0:18.212',7.580
'0:18.216',7.590
'0:18.220',7.570
'0:18.224',7.580
'0:18.228',7.570
'0:18.232',7.615
'0:18.236',7.580
'0:18.240',7.580
'0:18.244',7.570
'0:18.248',7.565
'0:18.252',7.570
'0:18.256',7.570
'0:18.260',7.565
'0:18.264',7.570
'0:18.268',7.565
'0:18.272',7.565
'0:18.276',7.565
'0:18.280',7.565
'0:18.284',7.555
'0:18.288',7.555
'0:18.292',7.565
'0:18.296',7.590
'0:18.300',7.565
'0:18.304',7.545
'0:18.308',7.545
'0:18.312',7.530
'0:18.316',7.510
'0:18.320',7.520
'0:18.324',7.505
'0:18.328',7.510
'0:18.332',7.530
'0:18.336',7.510
'0:18.340',7.485
'0:18.344',7.470
'0:18.348',7.460
'0:18.352',7.495
'0:18.356',7.505
'0:18.360',7.520
'0:18.364',7.540
'0:18.368',7.540
'0:18.372',7.530
'0:18.376',7.530
'0:18.380',7.530
'0:18.384',7.520
'0:18.388',7.530
'0:18.392',7.530
'0:18.396',7.530
'0:18.400',7.540
'0:18.404',7.545
'0:18.408',7.540
'0:18.412',7.505
'0:18.416',7.530
'0:18.420',7.530
'0:18.424',7.540
'0:18.428',7.565
'0:18.432',7.555
'0:18.436',7.505
'0:18.440',7.400
'0:18.444',7.155
'0:18.448',6.880
'0:18.452',6.700
'0:18.456',6.510
'0:18.460',6.265
'0:18.464',6.195
'0:18.468',6.530
'0:18.472',7.085
'0:18.476',7.435
'0:18.480',7.735
'0:18.484',7.810
'0:18.488',7.640
'0:18.492',7.510
'0:18.496',7.460
'0:18.500',7.435
'0:18.504',7.425
'0:18.508',7.420
'0:18.512',7.425
'0:18.516',7.435
'0:18.520',7.435
'0:18.524',7.435
'0:18.528',7.425
'0:18.532',7.460
'0:18.536',7.425
'0:18.540',7.425
'0:18.544',7.425
'0:18.548',7.425
'0:18.552',7.420
'0:18.556',7.420
'0:18.560',7.420
'0:18.564',7.410
'0:18.568',7.425
'0:18.572',7.420
'0:18.576',7.410
'0:18.580',7.410
'0:18.584',7.420
'0:18.588',7.410
'0:18.592',7.390
'0:18.596',7.400
'0:18.600',7.375
'0:18.604',7.390
'0:18.608',7.385
'0:18.612',7.375
'0:18.616',7.365
'0:18.620',7.360
'0:18.624',7.360
'0:18.628',7.340
'0:18.632',7.350
'0:18.636',7.340
'0:18.640',7.305
'0:18.644',7.335
'0:18.648',7.315
'0:18.652',7.300
'0:18.656',7.275
'0:18.660',7.265
'0:18.664',7.265
'0:18.668',7.245
'0:18.672',7.220
'0:18.676',7.205
'0:18.680',7.215
'0:18.684',7.180
'0:18.688',7.135
'0:18.692',7.110
'0:18.696',7.085
'0:18.700',7.050
'0:18.704',6.980
'0:18.708',6.975
'0:18.712',6.940
'0:18.716',6.895
'0:18.720',6.870
'0:18.724',6.820
'0:18.728',6.805
'0:18.732',6.775
'0:18.736',6.760
'0:18.740',6.725
'0:18.744',6.710
'0:18.748',6.700
'0:18.752',6.710
'0:18.756',6.750
'0:18.760',6.775
'0:18.764',6.835
'0:18.768',6.870
'0:18.772',6.950
'0:18.776',7.015
'0:18.780',7.075
'0:18.784',7.155
'0:18.788',7.215
'0:18.792',7.245
'0:18.796',7.275
'0:18.800',7.325
'0:18.804',7.365
'0:18.808',7.390
'0:18.812',7.400
'0:18.816',7.425
'0:18.820',7.435
'0:18.824',7.445
'0:18.828',7.450
'0:18.832',7.460
'0:18.836',7.470
'0:18.840',7.470
'0:18.844',7.470
'0:18.848',7.485
'0:18.852',7.495
'0:18.856',7.505
'0:18.860',7.505
'0:18.864',7.505
'0:18.868',7.505
'0:18.872',7.505
'0:18.876',7.530
'0:18.880',7.505
'0:18.884',7.505
'0:18.888',7.520
'0:18.892',7.505
'0:18.896',7.530
'0:18.900',7.510
'0:18.904',7.520
'0:18.908',7.520
'0:18.912',7.520
'0:18.916',7.505
'0:18.920',7.520
'0:18.924',7.510
'0:18.928',7.520
'0:18.932',7.540
'0:18.936',7.555
'0:18.940',7.570
'0:18.944',7.545
'0:18.948',7.545
'0:18.952',7.545
'0:18.956',7.545
'0:18.960',7.540
'0:18.964',7.545
'0:18.968',7.545
'0:18.972',7.565
'0:18.976',7.555
'0:18.980',7.540
'0:18.984',7.530
'0:18.988',7.545
'0:18.992',7.565
'0:18.996',7.565
'0:19.000',7.570
'0:19.004',7.565
'0:19.008',7.565
'0:19.012',7.565
'0:19.016',7.570
'0:19.020',7.570
'0:19.024',7.570
'0:19.028',7.565
'0:19.032',7.570
'0:19.036',7.565
'0:19.040',7.555
'0:19.044',7.570
'0:19.048',7.590
'0:19.052',7.580
'0:19.056',7.590
'0:19.060',7.570
'0:19.064',7.580
'0:19.068',7.590
'0:19.072',7.570
'0:19.076',7.570
'0:19.080',7.590
'0:19.084',7.580
'0:19.088',7.570
'0:19.092',7.615
'0:19.096',7.590
'0:19.100',7.590
'0:19.104',7.570
'0:19.108',7.590
'0:19.112',7.640
'0:19.116',7.605
'0:19.120',7.590
'0:19.124',7.580
'0:19.128',7.605
'0:19.132',7.600
'0:19.136',7.600
'0:19.140',7.600
'0:19.144',7.605
'0:19.148',7.570
'0:19.152',7.570
'0:19.156',7.590
'0:19.160',7.590
'0:19.164',7.600
'0:19.168',7.605
'0:19.172',7.605
'0:19.176',7.640
'0:19.180',7.605
'0:19.184',7.600
'0:19.188',7.605
'0:19.192',7.605
'0:19.196',7.590
'0:19.200',7.590
'0:19.204',7.580
'0:19.208',7.570
'0:19.212',7.570
'0:19.216',7.580
'0:19.220',7.600
'0:19.224',7.615
'0:19.228',7.600
'0:19.232',7.600
'0:19.236',7.615
'0:19.240',7.615
'0:19.244',7.600
'0:19.248',7.600
'0:19.252',7.605
'0:19.256',7.605
'0:19.260',7.580
'0:19.264',7.600
'0:19.268',7.600
'0:19.272',7.600
'0:19.276',7.605
'0:19.280',7.605
'0:19.284',7.630
'0:19.288',7.605
'0:19.292',7.600
'0:19.296',7.600
'0:19.300',7.615
'0:19.304',7.605
'0:19.308',7.605
'0:19.312',7.600
'0:19.316',7.600
'0:19.320',7.605
'0:19.324',7.590
'0:19.328',7.615
'0:19.332',7.615
'0:19.336',7.605
'0:19.340',7.580
'0:19.344',7.600
'0:19.348',7.630
'0:19.352',7.605
'0:19.356',7.605
'0:19.360',7.590
'0:19.364',7.600
'0:19.368',7.580
'0:19.372',7.600
'0:19.376',7.605
'0:19.380',7.600
'0:19.384',7.590
'0:19.388',7.590
'0:19.392',7.580
'0:19.396',7.600
'0:19.400',7.600
'0:19.404',7.590
'0:19.408',7.600
'0:19.412',7.615
'0:19.416',7.580
'0:19.420',7.600
'0:19.424',7.580
'0:19.428',7.605
'0:19.432',7.600
'0:19.436',7.600
'0:19.440',7.600
'0:19.444',7.600
'0:19.448',7.605
'0:19.452',7.600
'0:19.456',7.580
'0:19.460',7.570
'0:19.464',7.580
'0:19.468',7.590
'0:19.472',7.565
'0:19.476',7.570
'0:19.480',7.580
'0:19.484',7.565
'0:19.488',7.555
'0:19.492',7.545
'0:19.496',7.555
'0:19.500',7.545
'0:19.504',7.555
'0:19.508',7.540
'0:19.512',7.530
'0:19.516',7.520
'0:19.520',7.565
'0:19.524',7.545
'0:19.528',7.555
'0:19.532',7.570
'0:19.536',7.570
'0:19.540',7.570
'0:19.544',7.570
'0:19.548',7.570
'0:19.552',7.570
'0:19.556',7.570
'0:19.560',7.565
'0:19.564',7.555
'0:19.568',7.565
'0:19.572',7.555
'0:19.576',7.555
'0:19.580',7.555
'0:19.584',7.580
'0:19.588',7.545
'0:19.592',7.570
'0:19.596',7.570
'0:19.600',7.540
'0:19.604',7.495
'0:19.608',7.365
'0:19.612',7.135
'0:19.616',6.915
'0:19.620',6.775
'0:19.624',6.710
'0:19.628',6.545
'0:19.632',6.485
'0:19.636',6.830
'0:19.640',7.305
'0:19.644',7.580
'0:19.648',7.750
'0:19.652',7.835
'0:19.656',7.725
'0:19.660',7.545
'0:19.664',7.485
'0:19.668',7.480
'0:19.672',7.485
'0:19.676',7.470
'0:19.680',7.480
'0:19.684',7.485
'0:19.688',7.480
'0:19.692',7.485
'0:19.696',7.495
'0:19.700',7.485
'0:19.704',7.485
'0:19.708',7.485
'0:19.712',7.485
'0:19.716',7.485
'0:19.720',7.485
'0:19.724',7.485
'0:19.728',7.495
'0:19.732',7.495
'0:19.736',7.510
'0:19.740',7.485
'0:19.744',7.485
'0:19.748',7.480
'0:19.752',7.470
'0:19.756',7.520
'0:19.760',7.480
'0:19.764',7.485
'0:19.768',7.485
'0:19.772',7.460
'0:19.776',7.460
'0:19.780',7.460
'0:19.784',7.470
'0:19.788',7.460
'0:19.792',7.445
'0:19.796',7.435
'0:19.800',7.450
'0:19.804',7.445
'0:19.808',7.435
'0:19.812',7.425
'0:19.816',7.420
'0:19.820',7.365
'0:19.824',7.400
'0:19.828',7.390
'0:19.832',7.365
'0:19.836',7.365
'0:19.840',7.340
'0:19.844',7.325
'0:19.848',7.300
'0:19.852',7.290
'0:19.856',7.265
'0:19.860',7.245
'0:19.864',7.230
'0:19.868',7.180
'0:19.872',7.160
'0:19.876',7.130
'0:19.880',7.085
'0:19.884',7.050
'0:19.888',7.015
'0:19.892',6.990
'0:19.896',6.955
'0:19.900',6.920
'0:19.904',6.905
'0:19.908',6.880
'0:19.912',6.865
'0:19.916',6.865
'0:19.920',6.855
'0:19.924',6.895
'0:19.928',6.880
'0:19.932',6.950
'0:19.936',7.000
'0:19.940',7.050
'0:19.944',7.120
'0:19.948',7.170
'0:19.952',7.220
'0:19.956',7.275
'0:19.960',7.315
'0:19.964',7.360
'0:19.968',7.390
'0:19.972',7.425
'0:19.976',7.435
'0:19.980',7.450
'0:19.984',7.480
'0:19.988',7.485
'0:19.992',7.530
'0:19.996',7.505
'0:20.000',7.505
'0:20.004',7.505
'0:20.008',7.510
'0:20.012',7.520
'0:20.016',7.520
'0:20.020',7.545
'0:20.024',7.540
'0:20.028',7.540
'0:20.032',7.520
'0:20.036',7.540
'0:20.040',7.540
'0:20.044',7.545
'0:20.048',7.540
'0:20.052',7.540
'0:20.056',7.570
'0:20.060',7.545
'0:20.064',7.555
'0:20.068',7.540
'0:20.072',7.540
'0:20.076',7.540
'0:20.080',7.530
'0:20.084',7.555
'0:20.088',7.540
'0:20.092',7.540
'0:20.096',7.530
'0:20.100',7.545
'0:20.104',7.555
'0:20.108',7.540
'0:20.112',7.545
'0:20.116',7.545
'0:20.120',7.545
'0:20.124',7.540
'0:20.128',7.545
'0:20.132',7.545
'0:20.136',7.545
'0:20.140',7.540
'0:20.144',7.545
'0:20.148',7.545
'0:20.152',7.555
'0:20.156',7.555
'0:20.160',7.555
'0:20.164',7.600
'0:20.168',7.565
'0:20.172',7.570
'0:20.176',7.570
'0:20.180',7.570
'0:20.184',7.570
'0:20.188',7.570
'0:20.192',7.565
'0:20.196',7.570
'0:20.200',7.570
'0:20.204',7.570
'0:20.208',7.570
'0:20.212',7.570
'0:20.216',7.570
'0:20.220',7.570
'0:20.224',7.605
'0:20.228',7.605
'0:20.232',7.570
'0:20.236',7.605
'0:20.240',7.605
'0:20.244',7.600
'0:20.248',7.605
'0:20.252',7.605
'0:20.256',7.600
'0:20.260',7.600
'0:20.264',7.605
'0:20.268',7.590
'0:20.272',7.600
'0:20.276',7.605
'0:20.280',7.605
'0:20.284',7.605
'0:20.288',7.600
'0:20.292',7.615
'0:20.296',7.600
'0:20.300',7.615
'0:20.304',7.615
'0:20.308',7.615
'0:20.312',7.625
'0:20.316',7.630
'0:20.320',7.630
